time,gx,fgx
638,-0.000803,0.00029
639,0.000129,0.00026
640,0.000129,0.00021
641,-0.000403,0.00013
642,-0.000403,0.00005
643,0.000129,-0.0000
644,0.000129,-0.0001
645,-0.000403,-0.0001
646,-0.000403,-0.0002
647,-0.000803,-0.0003
648,-0.000803,-0.0003
649,-0.000803,-0.0003
650,-0.000803,-0.0002
651,-0.000803,-0.0002
652,-0.000537,-0.0001
653,-0.000537,-0.0000
654,-0.000137,0.00005
655,-0.000137,0.00005
656,0.000129,-0.0000
657,0.000129,-0.0001
658,0.000395,-0.0003
659,0.000395,-0.0005
660,0.000662,-0.0007
661,0.000662,-0.0008
662,0.000262,-0.0008
663,0.000262,-0.0007
664,-0.000004,-0.0006
665,0.000129,-0.0004
666,0.000129,-0.0002
667,-0.001069,-0.0000
668,-0.001069,0.00014
669,-0.000537,0.00032
670,-0.000537,0.00047
671,-0.000537,0.00059
672,-0.000537,0.00065
673,0.000529,0.00065
674,0.000529,0.00056
675,-0.000270,0.00039
676,-0.000270,0.00013
677,-0.000803,-0.0001
678,0.000529,-0.0004
679,0.000529,-0.0006
680,0.000395,-0.0007
681,0.000395,-0.0007
682,-0.000537,-0.0006
683,-0.000537,-0.0004
684,-0.000803,-0.0002
685,-0.000803,-0.0000
686,0.000129,0.00003
687,0.000129,0.00011
688,-0.000270,0.00017
689,-0.000270,0.00022
690,-0.000537,0.00025
691,-0.000137,0.00023
692,-0.000137,0.00015
693,-0.001202,0.00000
694,-0.001202,-0.0001
695,-0.000403,-0.0003
696,-0.000403,-0.0004
697,-0.001069,-0.0004
698,-0.001069,-0.0003
699,-0.001069,-0.0001
700,-0.001069,-0.0000
701,0.000129,-0.0000
702,0.000129,-0.0000
703,-0.000137,-0.0002
704,-0.000803,-0.0003
705,-0.000803,-0.0005
706,-0.000803,-0.0007
707,-0.000803,-0.0008
708,-0.000403,-0.0008
709,-0.000403,-0.0008
710,-0.000537,-0.0007
711,-0.000537,-0.0005
712,-0.000403,-0.0004
713,-0.000403,-0.0002
714,-0.000270,-0.0001
715,-0.000270,-0.0002
716,-0.001469,-0.0003
717,-0.000936,-0.0004
718,-0.000936,-0.0005
719,-0.000270,-0.0005
720,-0.000270,-0.0005
721,-0.000004,-0.0004
722,-0.000004,-0.0003
723,0.001061,-0.0002
724,0.001061,-0.0002
725,-0.000004,-0.0003
726,-0.000004,-0.0004
727,-0.000004,-0.0007
728,-0.000004,-0.0008
729,-0.000936,-0.0009
730,0.000529,-0.0007
731,0.000529,-0.0005
732,-0.000803,-0.0001
733,-0.000803,0.00017
734,-0.001202,0.00046
735,-0.001202,0.00062
736,-0.000803,0.00063
737,-0.000803,0.00052
738,-0.000137,0.00036
739,-0.000137,0.00021
740,-0.000004,0.00008
741,-0.000004,-0.0000
742,-0.000004,-0.0001
743,0.000395,-0.0003
744,0.000395,-0.0005
745,-0.000004,-0.0007
746,-0.000004,-0.0009
747,-0.000670,-0.0010
748,-0.000670,-0.0009
749,-0.001336,-0.0007
750,-0.001336,-0.0004
751,-0.000137,-0.0001
752,-0.000137,0.00015
753,-0.000137,0.00038
754,-0.000137,0.00051
755,-0.000537,0.00049
756,-0.001469,0.00032
757,-0.001469,0.00005
758,-0.000670,-0.0002
759,-0.000670,-0.0005
760,0.000928,-0.0007
761,0.000928,-0.0007
762,0.000262,-0.0006
763,0.000262,-0.0004
764,-0.000403,-0.0004
765,-0.000403,-0.0004
766,0.000129,-0.0005
767,0.000129,-0.0007
768,0.000395,-0.0008
769,0.000262,-0.0007
770,0.000262,-0.0005
771,0.000795,-0.0002
772,0.000795,0.00011
773,0.000529,0.00034
774,0.000529,0.00041
775,0.000129,0.00032
776,0.000129,0.00013
777,-0.000403,-0.0000
778,-0.000403,-0.0001
779,-0.000803,-0.0000
780,-0.000803,0.00008
781,-0.000537,0.00031
782,0.000395,0.00055
783,0.000395,0.00072
784,0.000262,0.00078
785,0.000262,0.00070
786,0.000395,0.00049
787,0.000395,0.00019
788,-0.000137,-0.0001
789,-0.000137,-0.0004
790,-0.000537,-0.0006
791,-0.000537,-0.0007
792,-0.000670,-0.0006
793,-0.000670,-0.0003
794,0.000395,-0.0000
795,0.000129,0.00025
796,0.000129,0.00048
797,-0.000803,0.00055
798,-0.000803,0.00047
799,-0.000537,0.00026
800,-0.000537,-0.0000
801,-0.000403,-0.0002
802,-0.000403,-0.0004
803,-0.000537,-0.0004
804,-0.000537,-0.0003
805,-0.000803,-0.0002
806,-0.000803,-0.0001
807,-0.000537,-0.0001
808,0.000529,-0.0001
809,0.000529,-0.0001
810,0.000129,-0.0003
811,0.000129,-0.0004
812,-0.000936,-0.0005
813,-0.000936,-0.0005
814,-0.000270,-0.0006
815,-0.000270,-0.0006
816,0.000262,-0.0005
817,0.000262,-0.0004
818,0.000262,-0.0002
819,0.000262,-0.0000
820,-0.000270,0.00008
821,-0.000670,0.00011
822,-0.000670,0.00003
823,-0.000137,-0.0001
824,-0.000137,-0.0002
825,-0.000004,-0.0003
826,-0.000004,-0.0003
827,-0.000270,-0.0001
828,-0.000270,0.00000
829,0.000529,0.00013
830,0.000529,0.00017
831,0.000928,0.00009
832,0.000928,-0.0000
833,0.000529,-0.0002
834,0.000529,-0.0003
835,0.000529,-0.0004
836,0.000262,-0.0004
837,0.000262,-0.0003
838,0.000262,-0.0002
839,0.000262,-0.0000
840,-0.000004,0.00015
841,-0.000004,0.00036
842,0.001061,0.00056
843,0.001061,0.00070
844,0.000395,0.00076
845,0.000395,0.00071
846,0.000395,0.00058
847,-0.000004,0.00039
848,-0.000004,0.00020
849,-0.000270,0.00006
850,-0.000270,0.00001
851,0.000262,0.00007
852,0.000262,0.00022
853,-0.000137,0.00039
854,-0.000137,0.00054
855,0.000262,0.00062
856,0.000262,0.00059
857,0.000262,0.00046
858,-0.000004,0.00027
859,-0.000004,0.00007
860,0.000262,-0.0000
861,0.000262,-0.0001
862,-0.000137,-0.0002
863,-0.000137,-0.0001
864,0.000395,-0.0000
865,0.000395,0.00003
866,0.000395,0.00010
867,0.000395,0.00015
868,0.000529,0.00016
869,0.000529,0.00015
870,-0.000270,0.00011
871,-0.000403,0.00005
872,-0.000403,0.00001
873,0.000129,-0.0000
874,0.000129,0.00004
875,0.001061,0.00014
876,0.001061,0.00027
877,0.001061,0.00038
878,0.001061,0.00043
879,0.000129,0.00037
880,0.000129,0.00021
881,0.000795,0.00000
882,0.000795,-0.0001
883,0.000928,-0.0002
884,0.001061,-0.0002
885,0.001061,-0.0000
886,-0.000670,0.00026
887,-0.000670,0.00052
888,-0.000403,0.00070
889,-0.000403,0.00077
890,0.000129,0.00077
891,0.000129,0.00074
892,0.000662,0.00073
893,0.000662,0.00074
894,-0.000537,0.00073
895,-0.000537,0.00065
896,-0.000403,0.00048
897,0.000129,0.00022
898,0.000129,-0.0000
899,-0.001202,-0.0002
900,-0.001202,-0.0003
901,-0.000270,-0.0003
902,-0.000270,-0.0001
903,-0.000403,0.00007
904,-0.000403,0.00023
905,0.000129,0.00028
906,0.000129,0.00021
907,0.000529,0.00004
908,0.000529,-0.0001
909,-0.000270,-0.0004
910,0.000395,-0.0005
911,0.000395,-0.0006
912,-0.000936,-0.0007
913,-0.000936,-0.0006
914,-0.000670,-0.0005
915,-0.000670,-0.0003
916,-0.000137,-0.0000
917,-0.000137,0.00016
918,-0.001069,0.00037
919,-0.001069,0.00050
920,-0.000803,0.00049
921,-0.000803,0.00036
922,0.000129,0.00014
923,0.000395,-0.0000
924,0.000395,-0.0003
925,-0.000403,-0.0004
926,-0.000403,-0.0005
927,-0.000137,-0.0006
928,-0.000137,-0.0007
929,-0.000803,-0.0007
930,-0.000803,-0.0007
931,-0.001202,-0.0006
932,-0.001202,-0.0005
933,0.000262,-0.0003
934,0.000262,-0.0000
935,0.000262,0.00014
